,title,url
135,"Na Argentina, a inflação se combate com escrachos ",https://brasil.elpais.com/brasil/2014/02/08/economia/1391863717_862113.html
136,Moody’s dá um empurrão às reformas de Peña Nieto no México ,https://brasil.elpais.com/brasil/2014/02/07/economia/1391728655_083113.html
137,A Petrobras é castigada com a fuga de capitais do Brasil ,https://brasil.elpais.com/brasil/2014/02/06/economia/1391716750_104059.html
138,O Brasil reforça a aposta na agricultura contra a crise dos emergentes ,https://brasil.elpais.com/brasil/2014/02/05/economia/1391631311_504710.html
139,A ‘Bollywood’ do automóvel ,https://brasil.elpais.com/brasil/2014/02/06/economia/1391690278_246545.html
140,A interrupção da obra do Canal do Panamá deixa 10.000 sob suspense ,https://brasil.elpais.com/brasil/2014/02/06/economia/1391661854_205647.html
141,Google mudará as buscas para evitar uma multa milionária da UE ,https://brasil.elpais.com/brasil/2014/02/05/economia/1391595904_751093.html
142,Um apagão deixa seis milhões sem energia em meio à onda de calor ,https://brasil.elpais.com/brasil/2014/02/04/economia/1391546362_080675.html
143,Wall Street recebe a nova presidenta da Fed com a maior queda desde junho ,https://brasil.elpais.com/brasil/2014/02/03/economia/1391461665_292234.html
144,Aversão a risco nos mercados castiga o Brasil ,https://brasil.elpais.com/brasil/2014/02/04/economia/1391470604_914807.html
145,Berlim e Paris não cumprem acordo de apoio à Grécia ,https://brasil.elpais.com/brasil/2014/01/31/economia/1391203282_052648.html
146,"O Brasil reduz o desemprego, mas não aumenta a produtividade ",https://brasil.elpais.com/brasil/2014/01/30/economia/1391109432_087147.html
147,O FMI prognostica meses de volatilidade para a América Latina ,https://brasil.elpais.com/brasil/2014/01/30/economia/1391104138_020019.html
148,Boeing detecta fissuras nas asas do Dreamliner ,https://brasil.elpais.com/brasil/2014/03/07/economia/1394229120_311330.html
149,Os EUA criam 175.000 empregos em fevereiro apesar do mau tempo ,https://brasil.elpais.com/brasil/2014/03/07/economia/1394200628_180326.html
150,O México impõe um golpe histórico à Televisa ,https://brasil.elpais.com/brasil/2014/03/07/economia/1394210967_404962.html
151,México licita pela primeira vez na história duas novas cadeias de televisão ,https://brasil.elpais.com/brasil/2014/03/07/economia/1394156891_036579.html
152,A Comissão Europeia aponta a Itália como o novo doente do euro ,https://brasil.elpais.com/brasil/2014/03/05/economia/1394019072_189406.html
153,Bruxelas tira a Espanha do grupo de países com desequilíbrios excessivos ,https://brasil.elpais.com/brasil/2014/03/04/economia/1393965389_388706.html
154,A lista de multimilionários da Forbes conta com 65 brasileiros ,https://brasil.elpais.com/brasil/2014/03/03/economia/1393877589_938642.html
